"","x"
"1",1
"2",0.780213918932843
"3",0.628351873251844
"4",0.518150881416459
"5",0.43520148984947
"6",0.370962793539953
"7",0.3233416521268
"8",0.286430662776273
"9",0.256882541349932
"10",0.233610777261458
"11",0.214661388620809
"12",0.199305053261117
"13",0.186499850025851
"14",0.175825519448726
"15",0.166887046792458
"16",0.15934731745483
"17",0.152932452464372
"18",0.147425239294802
"19",0.142702096057354
"20",0.138639362648208
"21",0.13512615539542
"22",0.132068422594157
"23",0.129402854989332
"24",0.12703769144085
"25",0.124883663979151
"26",0.12285901583122
"27",0.120970844208666
"28",0.119171042209454
"29",0.117440577526037
"30",0.11579661923639
"31",0.114211619113523
"32",0.112672537986743
"33",0.111195108349188
"34",0.109741381949536
"35",0.108343832920525
"36",0.106983529397684
"37",0.105644070321303
"38",0.104346742982501
"39",0.103072299954859
"40",0.101830218042151
"41",0.100616011647775
"42",0.0994225435444301
"43",0.0982462967552769
"44",0.0970988375617596
"45",0.0959676671551227
"46",0.0948553309600548
"47",0.0937614128255388
"48",0.0926855081640586
"49",0.0916272235629998
"50",0.0905861764113922
"51",0.0895619945413007
"52",0.0885543158832009
"53",0.0875627881347152
"54",0.0865870684421125
"55",0.0856245286080158
"56",0.0846749577684105
"57",0.0837381489778657
"58",0.082813899126318
"59",0.0819020088578476
"60",0.0810022824913937
"61",0.0801145279433563
"62",0.0792385566520363
"63",0.0783741835038637
"64",0.0775212267613673
"65",0.0766795079928405
"66",0.0758488520036578
"67",0.0750290867691999
"68",0.0742200433693445
"69",0.0734215559244824
"70",0.0726334615330199
"71",0.071855600210328
"72",0.0710878148291018
"73",0.0703299510610941
"74",0.0695818573201867
"75",0.0688433847067665
"76",0.0681143869533724
"77",0.067394720371581
"78",0.0666842438000994
"79",0.0659828185540342
"80",0.0652903083753086
"81",0.0646065793841958
"82",0.0639315000319445
"83",0.0632649410544651
"84",0.0626067754270534
"85",0.0619568783201239
"86",0.0613151270559289
"87",0.0606814010662379
"88",0.0600555818509542
"89",0.0594375529376458
"90",0.0588271998419674
"91",0.0582244100289525
"92",0.057629072875153
"93",0.0570410796316074
"94",0.0564603233876163
"95",0.0558866990353053
"96",0.0553201032349574
"97",0.0547604343810953
"98",0.0542075925692961
"99",0.0536603320512234
"100",0.0531197324077468
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
