,Temp,kappa,Max_length,Max_R,lifetime_R,Max_size,L difference,Size difference ,R difference,
1,11.85,0.25,109.4680359,4188608.574,9033595.638,109.4680359,0,0,0,0
2,11.85,0.5,173,9069899.084,24656866.43,173,0,0,0,0
3,11.85,1,224,33011535.3,65160125.71,224,0,0,0,0
4,11.85,2,289.0635747,69823156.94,163555058.4,289.0635747,0,0,0,0
5,11.85,5,390.3579592,168040568.2,519838931.8,390.3579592,0,0,0,0
,,,,,,,,,,
6,16.85,0.25,101.4592651,3078864.043,8750413.111,101.4592651,-0.073160816,-7.316081626,-0.031347709,-3.134770897
7,16.85,0.5,159,11503633.54,24781625.11,159,-0.080924855,-8.092485549,0.005059794,0.505979441
8,16.85,1,222.0229709,32065744.6,63853593.02,222.0229709,-0.008826023,-0.882602265,-0.020051108,-2.005110752
9,16.85,2,289.039423,68740017.21,159456655.5,289.039423,-8.35516E-05,-0.008355162,-0.025058246,-2.505824575
10,16.85,5,384.3045813,161047714,512176786.1,384.3045813,-0.015507249,-1.550724876,-0.014739461,-1.473946116
,,,,,,,,,,
11,21.85,0.25,98.37160195,2871858.176,8496623.065,98.37160195,-0.101366887,-10.13668867,-0.059441732,-5.944173219
12,21.85,0.5,159,11854663.46,23740453.2,159,-0.080924855,-8.092485549,-0.037166654,-3.71666544
13,21.85,1,214,29953478.39,61853167.82,214,-0.044642857,-4.464285714,-0.050751251,-5.075125089
14,21.85,2,282.0191255,63677375.75,155112166.5,282.0191255,-0.024369896,-2.436989558,-0.051621099,-5.162109933
15,21.85,5,380.3163354,159108705.2,500964428.7,380.3163354,-0.025724143,-2.572414277,-0.036308368,-3.630836779
,,,,,,,,,,
16,26.85,0.25,92.42217749,2374489.938,7785966.6,92.42217749,-0.155715395,-15.5715395,-0.138109905,-13.81099053
17,26.85,0.5,151,10053040.9,22401560.13,151,-0.12716763,-12.71676301,-0.091467677,-9.146767717
18,26.85,1,202.0416865,24937806.9,58172131.75,202.0416865,-0.098028185,-9.802818543,-0.107243408,-10.72434082
19,26.85,2,274.0077163,59665164.67,147629098.2,274.0077163,-0.052084938,-5.208493797,-0.097373694,-9.737369363
20,26.85,5,373.4240876,152257924.9,486073635.2,373.4240876,-0.043380367,-4.338036723,-0.064953382,-6.495338184
