,Temp,kappa,lifetime_R,Max_size,
1,11.85,0.25,2.15,109.4680359,109.5
2,11.85,0.5,5.87,173,173
3,11.85,1,15.51,224,224
4,11.85,2,38.94,289.0635747,289.1
5,11.85,5,123.77,390.3579592,390.4
6,16.85,0.25,2.08,101.4592651,101.5
7,16.85,0.5,5.9,159,159
8,16.85,1,15.2,222.0229709,222
9,16.85,2,37.97,289.039423,289
10,16.85,5,121.95,384.3045813,384.3
11,21.85,0.25,2.02,98.37160195,98.4
12,21.85,0.5,5.65,159,159
13,21.85,1,14.73,214,214
14,21.85,2,36.93,282.0191255,282
15,21.85,5,119.28,380.3163354,380.3
16,26.85,0.25,1.85,92.42217749,92.4
17,26.85,0.5,5.33,151,151
18,26.85,1,13.85,202.0416865,202
19,26.85,2,35.15,274.0077163,274
20,26.85,5,115.73,373.4240876,373.4
