"","kappa","Max_length","env"
"1",1.25,238.052502872264,"Constant"
"2",2.5,305.120986340754,"Constant"
"3",1.25,238.052502872264,"Constant"
"4",2.5,305.120986340754,"Constant"
"5",0.625,210.2659015004,"Seasonality - K only"
"6",1.25,275.163043783568,"Seasonality - K only"
"7",2.5,347.403720491435,"Seasonality - K only"
"8",5,400.38117896189,"Seasonality - K only"
"9",1.25,272.185387867708,"Seasonality - T only"
"10",2.5,347.379955790251,"Seasonality - T only"
"11",1.25,272.185387867708,"Seasonality - T only"
"12",2.5,347.379955790251,"Seasonality - T only"
"13",0.625,207.216358788882,"Seasonality"
"14",1.25,267.261132272265,"Seasonality"
"15",2.5,347.232400394141,"Seasonality"
"16",5,399.088591857608,"Seasonality"
